Nama,Harga,Jumlah,Total,Code
Sdl,150,3,345,?
Sdl,250,1,200,?
Domper,125,2,200,?
Domper T,100,1,90,?
Sdl,200,1,200,M
Sdl,150,1,150,H
Domper,125,1,100,?
Coco,275,1,240,?
Sdl,300,1,275/615,?
Sdl LC,175,1,175,H
Sdl,150,1,150,M
Sdl,250,1,,M
LC,175,1,,I
LC,150,1,,I
Sdl,200,1,200,?
Sdl,325,1,325,M
Sdl,200,1,175,M
Sdl,300,1,275,M
Sdl,150,1,125,M
Sdl,275,1,225,H
Sdl,150,1,150,H
Sdl,300,1,300,E
Sdl,150,1,150/450,E
Bottega,400,1,400,?
Sdl,175,1,175,?
Bottega,250,1,250,?
Coco,200,1,200,M
Sdl,175,1,175,M
LC,275,1,250,M
Goyard,250,2,450,M
Coco,200,1,275,E
Coco,225,1,200,E
Sdl,175,1,150/605,E
Sdl,300,3,825,E
Coco,225,1,200,E
Goyard,250,1,225,E
Bottega,500,1,450/700,E
Sdl,200,1,200,E
Sdl,250,1,250,E
Sdl,300,1,250/450,E
Sdl,175,1,175,E
Sdl,250,1,250,M
Sdl,250,1,250,M
Sdl,200,1,300,E
Sdl,300,1,300,E
Sdl,200,1,175,M
Sdl,250,1,225/400,M
Sdl,150,1,150,E
T.pesta,250,1,250,M
Sdl,175,1,175,E
Sdl,300,3,750,?
Sdl,200,2,350,?
Sdl,150,1,115,?
Sdl,175,1,150,?
Domper,125,3,300,?
Domper,100,1,90/175,?
Sdl,150,1,150,E
Sdl,150,2,300,M
Sdl,250,1,250,E
Sdl,175,1,150/400,M
LC,150,2,250,?
Sdl,150,1,150,?
Sdl,?,1,150,?
Sdl,250,1,250,?
Fendi,275,1,175,?
Sdl,200,1,175,?
Sdl,300,1,250,?
Sdl,?,1,200,?
Coco,225,1,225,?
