No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
20,03-03-25,POLY DOFF BANGAU 3MM,6250000,LUNAS,BINTANG TERANG
26,06-03-25,HMR DOFF 3MM,3750000,LUNAS,BINTANG TERANG
3,21-02-25,HPL PUTIH KILAT,1700000,LUNAS,CEMARA JAYA
1,10-02-25,HPL PUTIH KILAT,2550000,LUNAS,CEMARA JAYA
2,10-02-25,HPL PUTIH DOFF,4080000,LUNAS,CEMARA JAYA
4,21-02-25,HPL PUTIH DOFF,2550000,LUNAS,CEMARA JAYA
5,21-02-25,HPL HITAM DOFF,2850000,LUNAS,CEMARA JAYA
6,21-02-25,HPL HITAM KILAT,2850000,LUNAS,CEMARA JAYA
7,21-02-25,HPL HITAM SERAT JERUK,2850000,LUNAS,CEMARA JAYA
8,03-02-25,PVC BOARD 8MM,15750000,LUNAS,CEMARA JAYA
9,13-02-25,"PLY UT 3,6MM KAYU ALAM",21900000,LUNAS,CEMARA JAYA
10,17-02-25,PVC BOARD 8MM SEVEN,11250000,LUNAS,CEMARA JAYA
12,18-02-25,BB KILAT 18MM 1X,8370000,LUNAS,GIAT PROFIL
28,07-03-25,BB KILAT 18MM 1X,11160000,LUNAS,GIAT PROFIL
29,07-03-25,BB KILAT 18MM 2X,7020000,LUNAS,GIAT PROFIL
30,11-03-25,BB KILAT 18MM 1X,16739986,LUNAS,GIAT PROFIL
31,11-03-25,POLY DOFF BANGAU 3MM,6400000,LUNAS,HARI INDAH
39,27-03-25,POLY DOFF BANGAU 3MM,6400000,LUNAS,HARI INDAH
13,24-02-25,BB KILAT 18MM 1X,2280000,LUNAS,MEDAN JAYA
14,24-02-25,BB KILAT 18MM 2X,2154000,LUNAS,MEDAN JAYA
15,27-02-25,PVC BOARD 9MM,1140000,LUNAS,MEGAH JAYA BOGOR
16,27-02-25,PVC BOARD 15MM SEVEN,2700000,LUNAS,MEGAH JAYA BOGOR
17,03-02-25,POLY DOFF HARIMAU 3MM,17700000,LUNAS,TETAP JAYA
18,20-02-25,POLY DOFF HARIMAU 3MM,23600000,LUNAS,TETAP JAYA
